,gt_net_load,gt_bss_p_ch,gt_bss_en,gt_load,gt_opr_net_load,gt_peak,gt_forecast
2017-08-16 02:00:00,0.0864153927865097,0.019659910272255582,1.4929700345525119,0.0677384780278669,0.08739838830012248,0.4100750267952847,0.0677384780278669
2017-08-16 03:00:00,0.15752129406644827,0.11887783309527414,1.679846902339964,0.044587352625937854,0.163465185721212,0.4100750267952847,0.044587352625937854
2017-08-16 04:00:00,0.024706499134590432,-0.0049064549076857505,1.72727291693204,0.029367631296891895,0.024461176389206144,0.4100750267952847,0.029367631296891895
2017-08-16 05:00:00,0.05397033867132431,0.018676962802894475,1.8493064593871336,0.03622722400857456,0.05490418681146904,0.4100750267952847,0.03622722400857456
2017-08-16 06:00:00,0.04593500908381674,-0.030848577339424817,1.947696652151067,0.07524115755627031,0.044392580216845494,0.4100750267952847,0.07524115755627031
2017-08-16 07:00:00,0.06292655068235903,-0.05560955402872377,2.0276009983423404,0.1157556270096466,0.06014607298092283,0.4100750267952847,0.1157556270096466
2017-08-16 08:00:00,0.08831020208814352,-0.06747512997321879,2.0967960488428052,0.15241157556270138,0.08493644558948259,0.4100750267952847,0.15241157556270138
2017-08-16 09:00:00,0.11155151764603709,-0.08588304172871616,2.148933810512899,0.19314040728831744,0.10725736555960128,0.4100750267952847,0.19314040728831744
2017-08-16 10:00:00,0.13678264236258714,-0.09587837160907856,2.1890038133589296,0.22786709539121175,0.1319887237821332,0.4100750267952847,0.22786709539121175
2017-08-16 11:00:00,0.1566861478433369,-0.10245594185385798,2.2200075134735986,0.25401929260450196,0.15156335075064398,0.4100750267952847,0.25401929260450196
2017-08-16 12:00:00,0.17150476393566974,-0.11483731623852947,2.2385395040203373,0.2806002143622727,0.16576289812374326,0.4100750267952847,0.2806002143622727
2017-08-16 13:00:00,0.18552130977531206,-0.12490395214038941,2.24109718722783,0.304180064308682,0.1792761121682926,0.4100750267952847,0.304180064308682
2017-08-16 14:00:00,0.2053832022348167,-0.13603821550732442,2.200857934051006,0.3346195069667749,0.19858129145945047,0.4100750267952847,0.3346195069667749
2017-08-16 15:00:00,0.23170797999334591,-0.14307717568252806,2.118886174061848,0.36763129689174756,0.2245541212092195,0.4100750267952847,0.36763129689174756
2017-08-16 16:00:00,0.244832569752764,-0.15746738017788794,2.000145190937245,0.39442658092175753,0.23695920074386959,0.4100750267952847,0.39442658092175753
2017-08-16 17:00:00,0.2671414980449929,-0.15045634605293873,1.808637130076438,0.4100750267952847,0.25961868074234595,0.4100750267952847,0.4100750267952847
2017-08-16 18:00:00,0.26871210780015886,-0.1427106712048879,1.5450139547015949,0.4042872454448023,0.26157657423991443,0.4100750267952847,0.4042872454448023
2017-08-16 19:00:00,0.2204695247802743,-0.15919437398319466,1.2024656897606423,0.3717041800643092,0.21250980608111456,0.4100750267952847,0.3717041800643092
2017-08-16 20:00:00,0.21427136040343392,-0.12961563800259063,0.9088621664275663,0.33740621650589503,0.2077905785033044,0.4100750267952847,0.33740621650589503
2017-08-16 21:00:00,0.2551598977570591,-0.09785729722193767,0.7128900424112402,0.3481243301178999,0.2502670328959622,0.4100750267952847,0.3481243301178999
2017-08-16 22:00:00,0.26831162842783496,-0.03482286983339616,0.5843833260377868,0.3013933547695613,0.26657048493616514,0.4100750267952847,0.3013933547695613
2017-08-16 23:00:00,0.2547056978192451,0.024189559502854806,0.5578592594359422,0.23172561629153307,0.2559151757943879,0.4100750267952847,0.23172561629153307
2017-08-17 00:00:00,0.22080040313520635,0.056418769250462256,0.6164944245273039,0.1672025723472672,0.22362134159772945,0.4100750267952847,0.1672025723472672
2017-08-17 01:00:00,0.17542703814199462,0.06800183515144212,0.7232101205708695,0.1108252947481246,0.17882712989956673,0.4100750267952847,0.1108252947481246
2017-08-17 02:00:00,0.135404995776067,0.06536115649469224,0.8557940973984589,0.07331189710610937,0.13867305360080162,0.4100750267952847,0.07331189710610937
2017-08-17 03:00:00,0.12180432822216561,0.07857329297825971,1.024746701496896,0.04715969989281889,0.12573299287107859,0.4100750267952847,0.04715969989281889
2017-08-17 04:00:00,0.1500993166658535,0.12663469560471755,1.2824017721404342,0.02979635584137183,0.15643105144608938,0.4100750267952847,0.02979635584137183
2017-08-17 05:00:00,0.20193853830302777,0.17804327436873119,1.6506636831540042,0.03279742765273318,0.21084070202146438,0.4100750267952847,0.03279742765273318
2017-08-17 06:00:00,0.19759475044170283,0.13804468004976456,2.0495908020960867,0.06645230439442651,0.20449698444419107,0.4100750267952847,0.06645230439442651
2017-08-17 07:00:00,0.040910946329038536,-0.07020938351103646,2.0323416459292476,0.10760986066452317,0.03740047715348671,0.4100750267952847,0.10760986066452317
2017-08-17 08:00:00,0.1108529436291085,-0.036525304444115704,2.1602474875168696,0.14555198285101842,0.10902667840690272,0.4100750267952847,0.14555198285101842
2017-08-17 09:00:00,0.11776414237705082,-0.08250245970802916,2.222301956239477,0.19614147909967852,0.11363901939164936,0.4100750267952847,0.19614147909967852
2017-08-17 10:00:00,0.15129618492887664,-0.0954934951896639,2.2747041121212668,0.24201500535905732,0.1465215101693934,0.4100750267952847,0.24201500535905732
2017-08-17 11:00:00,0.17938141992519505,-0.10880254437839842,2.3080148467320014,0.28274383708467354,0.17394129270627512,0.4100750267952847,0.28274383708467354
2017-08-17 12:00:00,0.20683690585625578,-0.1171333748926654,2.3125120067630194,0.3181136120042879,0.2009802371116225,0.4100750267952847,0.3181136120042879
2017-08-17 13:00:00,0.24078680144252215,-0.11208429430149165,2.278821622148461,0.3472668810289392,0.23518258672744757,0.4100750267952847,0.3472668810289392
