,net_load,tier1_net_load,tier2_net_load,bss_p_ch,bss_en,load,opr_net_load,opr_tier1_load,opr_tier2_load,ep,gt_net_load,gt_tier1_net_load,gt_tier2_net_load,gt_bss_p_ch,gt_bss_en,gt_load,gt_opr_net_load,gt_opr_tier1_load,gt_opr_tier2_load,gt_ep
1,0.6,0.6,0.0,0.3646307109735581,1.364630710973558,0.15100864553314144,0.5156393565066996,0.5156393565066996,0.0,0.5435240991733277,0.6,0.6,0.0,0.38465038677385055,1.3846503867738504,0.15100864553314144,0.535659032306992,0.535659032306992,0.0,0.5435240991733277
2,-0.7795531477811921,-0.7795531477811921,0.0,-1.0,0.36463071097355804,0.09913544668587904,-0.900864553314121,-0.900864553314121,0.0,0.5631658205471293,-0.7989913544668585,-0.7989913544668585,0.0,-1.0,0.38465038677385044,0.09913544668587904,-0.900864553314121,-0.900864553314121,0.0,0.5631658205471293
3,-0.2422118360054643,-0.2422118360054643,0.0,-0.36463071097355804,0.0,0.08587896253602305,-0.278751748437535,-0.278751748437535,0.0,0.5534534801618889,-0.2662824207492789,-0.2662824207492789,0.0,-0.38465038677385044,0.0,0.08587896253602305,-0.2987714242378274,-0.2987714242378274,0.0,0.5534534801618889
4,0.07834723198640861,0.07834723198640861,0.0,0.0,0.0,0.08760806916426545,0.08760806916426545,0.08760806916426545,0.0,0.5064979830952264,0.08587896253602305,0.08587896253602305,0.0,0.0,0.0,0.08760806916426545,0.08760806916426545,0.08760806916426545,0.0,0.5064979830952264
5,0.08870037386036003,0.08870037386036003,0.0,0.0,0.0,0.1452449567723344,0.1452449567723344,0.1452449567723344,0.0,0.4381941773554549,0.08760806916426545,0.08760806916426545,0.0,0.0,0.0,0.1452449567723344,0.1452449567723344,0.1452449567723344,0.0,0.4381941773554549
6,0.5041991263978464,0.5041991263978464,0.0,0.38214366677428746,0.38214366677428746,0.20345821325648475,0.5856018800307722,0.5856018800307722,0.0,0.36929095029515757,0.1452449567723344,0.1452449567723344,0.0,0.0,0.0,0.20345821325648475,0.20345821325648475,0.20345821325648475,0.0,0.36929095029515757
7,0.6,0.6,0.0,0.34853176860838936,0.7306754353826768,0.23804034582132574,0.5865721144297151,0.5865721144297151,0.0,0.3144308200832568,0.4527377521613858,0.4527377521613858,0.0,0.26239951463673794,0.26239951463673794,0.23804034582132574,0.5004398604580637,0.5004398604580637,0.0,0.3144308200832568
8,0.6,0.6,0.0,0.28127022237091465,1.0119456577535915,0.2864553314121036,0.5677255537830183,0.5677255537830183,0.0,0.2653964089337254,0.6,0.6,0.0,0.3810101622933413,0.6434096769300792,0.2864553314121036,0.667465493705445,0.6,0.06746549370544497,0.2653964089337254
9,0.6,0.6,0.0,0.27915107742984413,1.2910967351834355,0.35561959654178743,0.6347706739716316,0.6,0.03477067397163158,0.22349368606013964,0.6,0.6,0.0,0.3300470195662067,0.9734566964962859,0.35561959654178743,0.6856666161079941,0.6,0.08566661610799409,0.22349368606013964
10,0.6,0.6,0.0,0.25826440862991973,1.5493611438133552,0.42651296829971236,0.6847773769296321,0.6,0.08477737692963216,0.2178407288453139,0.6,0.6,0.0,0.2572425299560132,1.2306992264522991,0.42651296829971236,0.6837554982557256,0.6,0.08375549825572559,0.2178407288453139
11,0.6,0.6,0.0,0.2082750641364574,1.7576362079498127,0.4305475504322765,0.6388226145687339,0.6,0.038822614568733926,0.22338972724190795,0.6,0.6,0.0,0.18261792810556593,1.413317154557865,0.4305475504322765,0.6131654785378424,0.6,0.013165478537842445,0.22338972724190795
12,0.6,0.6,0.0,0.14655766078473276,1.9041938687345454,0.4126801152737755,0.5592377760585083,0.5592377760585083,0.0,0.2387803938344314,0.6,0.6,0.0,0.1783709995449721,1.5916881541028371,0.4126801152737755,0.5910511148187476,0.5910511148187476,0.0,0.2387803938344314
13,0.540374752426773,0.540374752426773,0.0,0.09580613126545456,2.0,0.39942363112391976,0.49522976238937433,0.49522976238937433,0.0,0.26998216618892157,0.6,0.6,0.0,0.19717882602760473,1.7888669801304418,0.39942363112391976,0.5966024571515245,0.5966024571515245,0.0,0.26998216618892157
14,0.4077871575251798,0.4077871575251798,0.0,0.0,2.0,0.41095100864553363,0.41095100864553363,0.41095100864553363,0.0,0.3125490923096115,0.6000000000000001,0.6000000000000001,0.0,0.21113301986955824,2.0,0.41095100864553363,0.6220840285150919,0.6,0.022084028515091947,0.3125490923096115
15,0.3841714836144359,0.3841714836144359,0.0,0.0,2.0,0.4449567723342935,0.4449567723342935,0.4449567723342935,0.0,0.36599133467519324,0.41095100864553363,0.41095100864553363,0.0,0.0,2.0,0.4449567723342935,0.4449567723342935,0.4449567723342935,0.0,0.36599133467519324
16,0.4015784857173598,0.4015784857173598,0.0,0.0,2.0,0.5406340057636888,0.5406340057636888,0.5406340057636888,0.0,0.4003233200712439,0.4449567723342935,0.4449567723342935,0.0,0.0,2.0,0.5406340057636888,0.5406340057636888,0.5406340057636888,0.0,0.4003233200712439
17,0.5052374707717758,0.5052374707717758,0.0,0.0,2.0,0.7250720461095107,0.7250720461095107,0.6,0.12507204610951073,0.4221644399541948,0.5406340057636888,0.5406340057636888,0.0,0.0,2.0,0.7250720461095107,0.7250720461095107,0.6,0.12507204610951073,0.4221644399541948
18,0.583164633551435,0.583164633551435,0.0,0.0,2.0,0.7579250720461098,0.7579250720461098,0.6,0.15792507204610984,0.4309263284697178,0.7250720461095107,0.6,0.12507204610951073,0.0,2.0,0.7579250720461098,0.7579250720461098,0.6,0.15792507204610984,0.4309263284697178
