,gt_net_load,gt_bss_p_ch,gt_bss_en,gt_load,gt_opr_net_load,gt_peak,gt_forecast
1,0.0677384780278669,-0.0,0.0,0.0677384780278669,0.0677384780278669,0.5,0.0677384780278669
2,0.044587352625937854,-0.0,0.0,0.044587352625937854,0.044587352625937854,0.5,0.044587352625937854
3,0.029367631296891895,-0.0,0.0,0.029367631296891895,0.029367631296891895,0.5,0.029367631296891895
4,0.03622722400857456,-0.0,0.0,0.03622722400857456,0.03622722400857456,0.5,0.03622722400857456
5,0.07524115755627031,-0.0,0.0,0.07524115755627031,0.07524115755627031,0.5,0.07524115755627031
6,0.1157556270096466,-0.0,0.0,0.1157556270096466,0.1157556270096466,0.5,0.1157556270096466
7,0.15241157556270138,-0.0,0.0,0.15241157556270138,0.15241157556270138,0.5,0.15241157556270138
8,0.19314040728831744,-0.0,0.0,0.19314040728831744,0.19314040728831744,0.5,0.19314040728831744
9,0.22786709539121175,-0.0,0.0,0.22786709539121175,0.22786709539121175,0.5,0.22786709539121175
10,0.25401929260450196,-0.0,0.0,0.25401929260450196,0.25401929260450196,0.5,0.25401929260450196
11,0.2806002143622727,-0.0,0.0,0.2806002143622727,0.2806002143622727,0.5,0.2806002143622727
12,0.304180064308682,-0.0,0.0,0.304180064308682,0.304180064308682,0.5,0.304180064308682
13,0.3346195069667749,-0.0,0.0,0.3346195069667749,0.3346195069667749,0.5,0.3346195069667749
14,0.36763129689174756,-0.0,0.0,0.36763129689174756,0.36763129689174756,0.5,0.36763129689174756
15,0.39442658092175753,-0.0,0.0,0.39442658092175753,0.39442658092175753,0.5,0.39442658092175753
16,0.4100750267952847,-0.0,0.0,0.4100750267952847,0.4100750267952847,0.5,0.4100750267952847
17,0.4042872454448023,-0.0,0.0,0.4042872454448023,0.4042872454448023,0.5,0.4042872454448023
18,0.3717041800643092,-0.0,0.0,0.3717041800643092,0.3717041800643092,0.5,0.3717041800643092
19,0.33740621650589503,-0.0,0.0,0.33740621650589503,0.33740621650589503,0.5,0.33740621650589503
20,0.3481243301178999,-0.0,0.0,0.3481243301178999,0.3481243301178999,0.5,0.3481243301178999
21,0.3013933547695613,-0.0,0.0,0.3013933547695613,0.3013933547695613,0.5,0.3013933547695613
22,0.23172561629153307,-0.0,0.0,0.23172561629153307,0.23172561629153307,0.5,0.23172561629153307
23,0.1672025723472672,-0.0,0.0,0.1672025723472672,0.1672025723472672,0.5,0.1672025723472672
24,0.1108252947481246,-0.0,0.0,0.1108252947481246,0.1108252947481246,0.5,0.1108252947481246
25,0.07331189710610937,-0.0,0.0,0.07331189710610937,0.07331189710610937,0.5,0.07331189710610937
26,0.04715969989281889,-0.0,0.0,0.04715969989281889,0.04715969989281889,0.5,0.04715969989281889
27,0.02979635584137183,-0.0,0.0,0.02979635584137183,0.02979635584137183,0.5,0.02979635584137183
28,0.03279742765273318,-0.0,0.0,0.03279742765273318,0.03279742765273318,0.5,0.03279742765273318
29,0.06645230439442651,-0.0,0.0,0.06645230439442651,0.06645230439442651,0.5,0.06645230439442651
30,0.10760986066452317,-0.0,0.0,0.10760986066452317,0.10760986066452317,0.5,0.10760986066452317
