,gt_load_actual,gt_load_forecast,gt_opt_net_load,gt_opr_net_load,gt_bss_en,gt_bss_p_ch,forecast_load_actual,forecast_load_forecast,forecast_opt_net_load,forecast_opr_net_load,forecast_bss_en,forecast_bss_p_ch
2017-08-27 15:00:00,0.6289187460012803,0.6289187460012803,0.6406495666812331,0.6412669782959673,0.999999999596844,0.012348232294687119,0.6289187460012803,0.6336049130555677,0.6336049128081482,0.6289187457408388,0.9999999994286158,-2.6044143838909697e-10
2017-08-27 16:00:00,0.720089571337173,0.720089571337173,0.6631615027988883,0.6601652886652943,0.9400757169249654,-0.05992428267187864,0.720089571337173,0.7352727062322563,0.659306793982776,0.6401254531798254,0.9200358812712682,-0.07996411815734765
2017-08-27 17:00:00,0.7962252079334621,0.7962252079334621,0.6631615027905013,0.6561581498882403,0.8000086588797435,-0.14006705804522185,0.7962252079334621,0.7756640878455833,0.6362671197207936,0.6494915572757888,0.7733022306135949,-0.14673365065767327
2017-08-27 18:00:00,0.8496481126039678,0.8496481126039678,0.663161502994567,0.6533464182782828,0.6037069645540585,-0.196301694325685,0.8496481126039678,0.8580328371023008,0.6696720247513569,0.6513735732871846,0.5750276912968117,-0.19827453931678313
2017-08-27 19:00:00,0.8694817658349329,0.8694817658349329,0.663161502680907,0.6523025414622741,0.3865277401813997,-0.2171792243726588,0.8694817658349329,0.8771634735166524,0.6596519323290139,0.6405222487953134,0.3460681742571923,-0.22895951703961948
2017-08-27 20:00:00,0.8499680102367254,0.8499680102367254,0.6631615026934825,0.6533295812438382,0.18988931118851246,-0.19663842899288722,0.8499680102367254,0.8370178241760322,0.651090976594165,0.6542555390979179,0.15035570311838478,-0.1957124711388075
2017-08-27 21:00:00,0.7840690978886763,0.7840690978886763,0.6631615026609835,0.6567979450174207,0.0626181583172569,-0.12727115287125557,0.7840690978886763,0.7764419545965631,0.6617862150896364,0.6633788457761218,0.029665451005830373,-0.12069025211255441
2017-08-27 22:00:00,0.7226487523992328,0.7226487523992328,0.6631615020168283,0.6600305941019649,1.9989038202439247e-11,-0.06261815829726786,0.7226487523992328,0.6962748384538391,0.6680926600541709,0.6929833014522135,5.88111816191006e-11,-0.02966545094701919
2017-08-27 23:00:00,0.6199616122840698,0.6199616122840698,0.6199616123316518,0.6199616123341561,7.007540344404626e-11,5.008636524160702e-11,0.6199616122840698,0.6073537807484461,0.6073537807599522,0.6199616122961814,7.092277397665542e-11,1.2111592357554829e-11
2017-08-28 00:00:00,0.48176583493282216,0.48176583493282216,0.4817658348793256,0.48176583487651,1.3763237047814e-11,-5.6312166396232264e-11,0.48176583493282216,0.48185503730449974,0.48185503724978396,0.4817658348752266,1.3327226414135052e-11,-5.759554756252037e-11
2017-08-28 01:00:00,0.3576455534229054,0.3576455534229054,0.35764555342064613,0.35764555342052723,1.1385081050506533e-11,-2.3781559973074667e-12,0.3576455534229054,0.35813194745790067,0.3581319474577437,0.3576455534227401,1.3161967474001298e-11,-1.6525894013375422e-13
2017-08-28 02:00:00,0.2719129878438902,0.2719129878438902,0.2719129878823224,0.2719129878843451,5.1840014799014435e-11,4.04549337485079e-11,0.2719129878438902,0.2592966596846454,0.25929665968118665,0.2719129878402494,9.521200887832356e-12,-3.640766586168942e-12
2017-08-28 03:00:00,0.2069737683941141,0.2069737683941141,0.20697376837465536,0.2069737683736312,3.1357117684617655e-11,-2.048289711439678e-11,0.2069737683941141,0.2074244356655928,0.20742443570201932,0.20697376843245782,4.786491439770753e-11,3.8343713509875175e-11
2017-08-28 04:00:00,0.1653870761356368,0.1653870761356368,0.21165227131022743,0.2140872815825743,0.04870020547829463,0.04870020544693751,0.1653870761356368,0.15945738666046125,0.15945738665612824,0.16538707613107576,4.3303861788599236e-11,-4.561052609108294e-12
2017-08-28 05:00:00,0.13851567498400522,0.13851567498400522,0.24209752879429444,0.24754920531062546,0.15773373580491487,0.10903353032662025,0.13851567498400522,0.13528643136968763,0.15584245552085962,0.16015359514313363,0.021637920202432267,0.021637920159128406
2017-08-28 06:00:00,0.13659628918746025,0.13659628918746025,0.2825727017719121,0.29025567085530435,0.311393117472759,0.1536593816678441,0.13659628918746025,0.12577636337020548,0.1888861396721246,0.2030276326631646,0.0880692636781366,0.06643134347570433
2017-08-28 07:00:00,0.158029430582214,0.158029430582214,0.3304644859539898,0.3395400151840833,0.4929037020746283,0.1815105846018693,0.158029430582214,0.13754071650993654,0.24641439192480036,0.2726332994399654,0.20267313253588798,0.1146038688577514
2017-08-28 08:00:00,0.20153550863723646,0.20153550863723646,0.3870451006938444,0.3968087634336659,0.6881769568710577,0.19527325479642943,0.20153550863723646,0.14413609664410915,0.3297905408741873,0.3969612394057398,0.3980988633043913,0.19542573076850334
2017-08-28 09:00:00,0.23960332693538103,0.23960332693538103,0.3478375496572512,0.3535340876952444,0.8021077176309211,0.1139307607598634,0.23960332693538103,0.2460436397984953,0.461987969105949,0.46691314725901656,0.6254086836280268,0.2273098203236355
2017-08-28 10:00:00,0.2888675623800389,0.2888675623800389,0.3118393714600504,0.31304841404320893,0.8262885692940911,0.024180851663170008,0.2888675623800389,0.33721517129889567,0.3877180051594392,0.3420284401279795,0.6785695613759674,0.05316087774794057
2017-08-28 11:00:00,0.3646833013435704,0.3646833013435704,0.38495680997001924,0.38602383673983237,0.847629104690353,0.021340535396261944,0.3646833013435704,0.3604780788277745,0.516572777152583,0.5289935101065268,0.8428797701389237,0.16431020876295638
2017-08-28 12:00:00,0.4552143314139474,0.4552143314139474,0.48562545173449667,0.4872260370145256,0.8796408102909312,0.03201170560057817,0.4552143314139474,0.4593347553427044,0.43067999256771183,0.4250514232297447,0.812716861954721,-0.030162908184202683
2017-08-28 13:00:00,0.5658989123480489,0.5658989123480489,0.6187441482115185,0.621525476414859,0.9352673743577413,0.05562656406681006,0.5658989123480489,0.5501580617644898,0.6008250807121728,0.6192326165035047,0.8660505661101768,0.053333704155455755
2017-08-28 14:00:00,0.6657069737683944,0.6657069737683944,0.7245013277979462,0.727595767483712,0.997156168073059,0.061888793715317664,0.6657069737683944,0.668829858179993,0.7518773613794245,0.7531253981888487,0.9534689905306312,0.0874184244204543
2017-08-28 15:00:00,0.783109404990404,0.783109404990404,0.7858110448958037,0.785953236469772,0.9999999995524269,0.0028438314793679947,0.783109404990404,0.77075662660193,0.8126428996906797,0.8272002187680353,0.9975598043082624,0.04409081377763126
2017-08-28 16:00:00,0.8800383877159317,0.8800383877159317,0.7950964266134629,0.7906257970817541,0.9105874089182493,-0.08941259063417765,0.8800383877159317,0.9074303325932568,0.9097485178835111,0.8824785827583046,0.9999999993506353,0.0024401950423729277
2017-08-28 17:00:00,0.9520153550863728,0.9520153550863728,0.7950964264220979,0.7868375354397676,0.7454095892716441,-0.16517781964660522,0.9520153550863728,0.9971322848299979,0.8588204788449413,0.8064239803652605,0.854408624629523,-0.14559137472111228
