,gt_load_actual,gt_load_forecast,gt_opt_net_load,gt_opr_net_load,gt_bss_en,gt_bss_p_ch,forecast_load_actual,forecast_load_forecast,forecast_opt_net_load,forecast_opr_net_load,forecast_bss_en,forecast_bss_p_ch
2017-08-24 13:00:00,0.30503751339764235,0.30503751339764235,0.2815380829704947,0.2815380829704947,0.8731408276417952,-0.023499430427147645,0.30503751339764235,0.2949199584698738,0.23211313473572148,0.24223068966349004,0.877024366944321,-0.06280682373415232
2017-08-24 14:00:00,0.3474812433011796,0.3474812433011796,0.28996388146782903,0.28996388146782903,0.8156234658084447,-0.05751736183335057,0.3474812433011796,0.334516921679771,0.24861134046790603,0.2615756620893146,0.791118785732456,-0.08590558121186495
2017-08-24 15:00:00,0.3957127545551987,0.3957127545551987,0.29537470215004447,0.29537470215004447,0.7152854134032904,-0.10033805240515427,0.3957127545551987,0.3886779448459074,0.27298307219927204,0.28001788190856336,0.6754239130858206,-0.11569487264663537
2017-08-24 16:00:00,0.4310825294748131,0.4310825294748131,0.2826432131031674,0.2826432131031674,0.5668460970316448,-0.14843931637164567,0.4310825294748131,0.43142607090225105,0.28310228417989286,0.28275874275245494,0.5271001263634625,-0.1483237867223582
2017-08-24 17:00:00,0.4392282958199362,0.4392282958199362,0.29046387714137245,0.29046387714137245,0.4180816783530811,-0.14876441867856374,0.4392282958199362,0.4473881201982048,0.2832068327003734,0.2750470083221048,0.36291883886563103,-0.16418128749783142
2017-08-24 18:00:00,0.42165058949624923,0.42165058949624923,0.2837608652194184,0.2837608652194184,0.28019195407625025,-0.13788972427683083,0.42165058949624923,0.4203361387403605,0.2687814288095395,0.2700958795654282,0.21136412893481,-0.15155470993082104
2017-08-24 19:00:00,0.3667738478027873,0.3667738478027873,0.3002948812773999,0.3002948812773999,0.21371298755086282,-0.06647896652538743,0.3667738478027873,0.3822294062834589,0.2768003922246529,0.2613448337439813,0.10593511487600402,-0.10542901405880598
2017-08-24 20:00:00,0.3369774919614153,0.3369774919614153,0.30848783586524947,0.30848783586524947,0.18522333145469697,-0.02848965609616585,0.3369774919614153,0.33037268810653114,0.2650617498162172,0.2716665536711014,0.040624176585690105,-0.06531093829031391
2017-08-24 21:00:00,0.3303322615219725,0.3303322615219725,0.31623793851592696,0.31623793851592696,0.17112900844865142,-0.014094323006045533,0.3303322615219725,0.30177201847923557,0.2611478418951928,0.28970808493792977,1.647362801726615e-12,-0.04062417658404274
2017-08-24 22:00:00,0.2806002143622727,0.2806002143622727,0.3241465000951788,0.3241465000951788,0.2146752941815575,0.04354628573290607,0.2806002143622727,0.2938997510781371,0.29389975107737953,0.28060021436151517,8.898183057717357e-13,-7.575444959548794e-13
2017-08-24 23:00:00,0.21779206859592787,0.21779206859592787,0.3246045131985314,0.3246045131985314,0.32148773878416104,0.10681244460260352,0.21779206859592787,0.2138814888583805,0.23554890511754886,0.23945948485509624,0.021667416260058185,0.021667416259168366
2017-08-25 00:00:00,0.1545551982851021,0.1545551982851021,0.2390708004477115,0.2390708004477115,0.40600334094677043,0.08451560216260938,0.1545551982851021,0.15803759340232848,0.22486978447134354,0.22138738935411717,0.08849960732907322,0.06683219106901504
2017-08-25 01:00:00,0.09024651661307612,0.09024651661307612,0.1376981723178633,0.1376981723178633,0.45345499665155764,0.047451655704787196,0.09024651661307612,0.10565901088409312,0.2267552625231127,0.2113427682520957,0.2095958589680928,0.12109625163901959
2017-08-25 02:00:00,0.054876741693461996,0.054876741693461996,0.07779746352736003,0.07779746352736003,0.4763757184854557,0.022920721833898035,0.054876741693461996,0.049037849469285515,0.1916020466175211,0.19744093884169756,0.3521600561163284,0.14256419714823557
2017-08-25 03:00:00,0.032154340836012894,0.032154340836012894,0.045688493784541206,0.045688493784541206,0.489909871433984,0.013534152948528309,0.032154340836012894,0.03408910264116393,0.1412352258894021,0.13930046408425106,0.4593061793645666,0.10714612324823818
2017-08-25 04:00:00,0.019078242229367562,0.019078242229367562,0.03365950358174367,0.03365950358174367,0.5044911327863602,0.014581261352376107,0.019078242229367562,0.021152384519517443,0.11928827476060934,0.11721413247045946,0.5574420696056585,0.0981358902410919
2017-08-25 05:00:00,0.02315112540192913,0.02315112540192913,0.045984832051709376,0.045984832051709376,0.5273248394361404,0.02283370664978025,0.02315112540192913,0.027216615903858606,0.1276855896099721,0.12362009910804261,0.657911043311772,0.10046897370611349
2017-08-25 06:00:00,0.054662379421222124,0.054662379421222124,0.08588059750217676,0.08588059750217676,0.558543057517095,0.03121821808095464,0.054662379421222124,0.04985765167371884,0.14942123565940862,0.15422596340691191,0.7574746272974617,0.09956358398568979
2017-08-25 07:00:00,0.10846730975348372,0.10846730975348372,0.14334675007106773,0.14334675007106773,0.593422497834679,0.034879440317584026,0.10846730975348372,0.09533462140999178,0.19757560019307346,0.2107082885365654,0.8597156060805434,0.10224097878308168
2017-08-25 08:00:00,0.15198285101822087,0.15198285101822087,0.20322813738014756,0.20322813738014756,0.6446677841966058,0.05124528636192668,0.15198285101822087,0.1621025749108133,0.24840373511814048,0.23828401122554804,0.9460167662878706,0.08630116020732717
2017-08-25 09:00:00,0.1954983922829587,0.1954983922829587,0.25693227787548356,0.25693227787548356,0.7061016697891306,0.06143388559252488,0.1954983922829587,0.19149714801544254,0.23159765730579798,0.23559890157331415,0.986117275578226,0.04010050929035545
2017-08-25 10:00:00,0.23236870310825336,0.23236870310825336,0.29782971071178765,0.29782971071178765,0.7715626773926648,0.06546100760353428,0.23236870310825336,0.23160304087688216,0.2454857652907146,0.24625142752208581,0.9999999999920585,0.013882724413832464
2017-08-25 11:00:00,0.2647374062165063,0.2647374062165063,0.32197105615123556,0.32197105615123556,0.8287963273273941,0.05723364993472924,0.2647374062165063,0.26145441824791305,0.2549239522557654,0.2582069402243587,0.9934695339999108,-0.006530465992147646
2017-08-25 12:00:00,0.30675241157556316,0.30675241157556316,0.33585928389165043,0.33585928389165043,0.8579031996434813,0.029106872316087256,0.30675241157556316,0.2914889632383961,0.25965079186024037,0.2749142401974074,0.9616313626217551,-0.031838171378155734
2017-08-25 13:00:00,0.3414790996784571,0.3414790996784571,0.3486053547028665,0.3486053547028665,0.8650294546678907,0.0071262550244094326,0.3414790996784571,0.3433108686601517,0.28675210071817414,0.2849203317364795,0.9050725946797775,-0.056558767941977575
2017-08-25 14:00:00,0.3813504823151135,0.3813504823151135,0.34537389153265496,0.34537389153265496,0.8290528638854322,-0.035976590782458524,0.3813504823151135,0.3692782755885808,0.28099794381019716,0.29307015053672986,0.816792262901394,-0.08828033177838362
2017-08-25 15:00:00,0.42593783494105103,0.42593783494105103,0.34875374500226225,0.34875374500226225,0.7518687739466434,-0.07718408993878877,0.42593783494105103,0.4242633986764491,0.29784988696004366,0.2995243232246456,0.6903787511849886,-0.1264135117164054
2017-08-25 16:00:00,0.4621650589496257,0.4621650589496257,0.345210409216519,0.345210409216519,0.6349141242135368,-0.11695464973310664,0.4621650589496257,0.45507513737888006,0.29666808654883237,0.303758008119578,0.5319717003549409,-0.1584070508300477
2017-08-25 17:00:00,0.48231511254019366,0.48231511254019366,0.3372088845628014,0.3372088845628014,0.4898078962361445,-0.14510622797739223,0.48231511254019366,0.47811342115249134,0.3064987192348032,0.31070041062250553,0.3603569984372528,-0.17161470191768816
2017-08-25 18:00:00,0.4623794212218658,0.4623794212218658,0.3334209101019957,0.3334209101019957,0.3608493851162744,-0.12895851111987014,0.4623794212218658,0.46603593176215324,0.3093703273885774,0.30571381684828997,0.20369139406367692,-0.15666560437357585
2017-08-25 19:00:00,0.4038585209003222,0.4038585209003222,0.3340560179727955,0.3340560179727955,0.29104688218874764,-0.06980250292752674,0.4038585209003222,0.4173876545559201,0.31190369812501484,0.29837456446941696,0.09820743763277169,-0.10548395643090523
2017-08-25 20:00:00,0.3642015005359064,0.3642015005359064,0.32944498977085207,0.32944498977085207,0.2562903714236933,-0.03475651076505431,0.3642015005359064,0.36394408159439295,0.29982658984742055,0.300084008788934,0.03408994588579929,-0.0641174917469724
2017-08-25 21:00:00,0.34190782422293736,0.34190782422293736,0.3319296711850692,0.3319296711850692,0.24631221838582515,-0.009978153037868158,0.34190782422293736,0.32047523367139885,0.2863852877869273,0.30781787833846574,1.3277018373614169e-12,-0.03408994588447159
2017-08-25 22:00:00,0.28467309753483433,0.28467309753483433,0.341402927141258,0.341402927141258,0.30304204799224876,0.05672982960642362,0.28467309753483433,0.2975135866781194,0.29751358667739436,0.2846730975341093,6.026854624674551e-13,-7.250163748939617e-13
2017-08-25 23:00:00,0.22079314040728865,0.22079314040728865,0.2999807511202146,0.2999807511202146,0.3822296587051748,0.07918761071292599,0.22079314040728865,0.21925006176771508,0.25725496968758865,0.25879804832716224,0.038004907920476255,0.03800490791987357
