,gt_load_actual,gt_load_forecast,gt_opt_net_load,gt_opr_net_load,gt_bss_en,gt_bss_p_ch,forecast_load_actual,forecast_load_forecast,forecast_opt_net_load,forecast_opr_net_load,forecast_bss_en,forecast_bss_p_ch
2017-09-03 01:00:00,0.4896034297963569,0.4896034297963569,0.5124924202257609,0.5136971039325716,0.02409367413816846,0.024093674136214743,0.4896034297963569,0.4561675190925598,0.45616751909559716,0.48960342979955407,7.728450368268721e-12,3.1971802629332e-12
2017-09-03 02:00:00,0.4199356913183279,0.4199356913183279,0.5036274430046502,0.5080322720407724,0.11219025486061297,0.08809658072244451,0.4199356913183279,0.4149661362171173,0.43424430982043716,0.440228505637612,0.020292814327012517,0.020292814319284067
2017-09-03 03:00:00,0.36806002143622807,0.36806002143622807,0.5057569955234726,0.5130042046859592,0.2571344381103441,0.14494418324973113,0.36806002143622807,0.42511656880378723,0.43599065561022016,0.3795064286008943,0.03173922149167876,0.01144640716466624
2017-09-03 04:00:00,0.32197213290460946,0.32197213290460946,0.448551935451593,0.45521403032248686,0.3903763355282215,0.13324189741787737,0.32197213290460946,0.4082200825214386,0.4563826681462859,0.3726695914570803,0.0824366800441496,0.05069745855247084
2017-09-03 05:00:00,0.28274383708467354,0.28274383708467354,0.3619901965392193,0.36616105756314277,0.4737935560066907,0.08341722047846922,0.28274383708467354,0.3684631288051605,0.47501902514469707,0.394907938494712,0.19460078145418805,0.11216410141003845
2017-09-03 06:00:00,0.26066452304394505,0.26066452304394505,0.3132009020784108,0.31596597465917214,0.5290950076219177,0.055301451615227086,0.26066452304394505,0.28570932149887085,0.49650433519436105,0.48255401114446106,0.41649026955470403,0.221889488100516
2017-09-03 07:00:00,0.25316184351554216,0.25316184351554216,0.30889319335292353,0.3118264222917331,0.5877595863981087,0.05866457877619094,0.25316184351554216,0.2773284912109375,0.4944253113800833,0.481684812114643,0.6450132381538048,0.2285229685991008
2017-09-03 08:00:00,0.244372990353698,0.244372990353698,0.3360365582046245,0.34086095651256804,0.6842475525569787,0.09648796615887005,0.244372990353698,0.29315367341041565,0.45320870149661235,0.4128519672865366,0.8134922150866435,0.16847897693283864
2017-09-03 09:00:00,0.25766345123258333,0.25766345123258333,0.38448121626835047,0.3911558354807593,0.8177399368051546,0.13349238424817594,0.25766345123258333,0.2965073585510254,0.38852133658128435,0.3545202702118033,0.9103490340658634,0.09685681897921997
2017-09-03 10:00:00,0.325830653804931,0.325830653804931,0.44222835068079874,0.44835454525321283,0.9402638282534365,0.12252389144828188,0.325830653804931,0.29941892623901367,0.3291410422875346,0.3571170917507425,0.941635472011675,0.03128643794581152
