,horizon,tier1,tier2,peak,total
XGBModel_4 Hours Ahead (kW),4.0,107.3072366473942,79.750559013225,74.5800139,261.6378095606192
XGBModel_8 Hours Ahead (kW),8.0,109.79011366132184,68.841060838684,66.12071423833018,244.75188873833602
NBEATSModel_4 Hours Ahead (kW),4.0,105.59031189190162,80.6980351064735,74.5800139,260.8683608983751
NBEATSModel_8 Hours Ahead (kW),8.0,109.89844648077047,68.20061732107848,74.5800139,252.67907770184894
Actual load (kW)_4,4.0,118.43251025495036,62.128120896850504,38.99846184982155,219.55909300162241
Actual load (kW)_8,8.0,120.838509253206,53.30584595937083,37.85594940369292,212.00030461626977
