,net_load_XGBModel_4 Hours Ahead (kW),tier1_net_load_XGBModel_4 Hours Ahead (kW),tier2_net_load_XGBModel_4 Hours Ahead (kW),bss_p_ch_XGBModel_4 Hours Ahead (kW),bss_en_XGBModel_4 Hours Ahead (kW),opr_net_load_XGBModel_4 Hours Ahead (kW),opr_tier1_load_XGBModel_4 Hours Ahead (kW),opr_tier2_load_XGBModel_4 Hours Ahead (kW),Actual load (kW),energy_prices_dol_kwh
2019-08-02 02:00:00,2.456739034141368,2.456739034141368,0.0,1.6204958485698615,5.6204958485698615,2.5148413785698613,2.5148413785698613,0.0,0.89434553,0.07452089
2019-08-02 03:00:00,2.6209738178586317,2.6209738178586317,0.0,2.3795041514301385,8.0,2.7493041234301385,2.6209738178586313,0.12833030557150726,0.369799972,0.07369973
2019-08-02 04:00:00,0.196708843,0.196708843,0.0,0.0,8.0,1e-06,1e-06,0.0,1e-06,0.07494958
2019-08-02 05:00:00,-3.5931403819999996,-3.5931403819999996,0.0,-4.0,4.0,-3.829547554,-3.829547554,0.0,0.170452446,0.07941389
2019-08-02 06:00:00,-3.5799571749999997,-3.5799571749999997,0.0,-4.0,0.0,-3.806734417,-3.806734417,0.0,0.193265583,0.09540189
2019-08-02 07:00:00,0.515843391,0.515843391,0.0,0.0,0.0,1.015706221,1.015706221,0.0,1.015706221,0.0789874
2019-08-02 08:00:00,2.6209738178586313,2.6209738178586313,0.0,1.4213723809038226,1.4213723809038226,3.113363799903823,2.6209738178586313,0.4923899820451916,1.691991419,0.07373267
2019-08-02 09:00:00,2.6209738178586313,2.6209738178586313,0.0,0.6363903766932961,2.0577627575971187,1.595136876693296,1.595136876693296,0.0,0.9587465,0.0725828
2019-08-02 10:00:00,2.6209738178586313,2.6209738178586313,0.0,0.6060916419564544,2.663854399553573,1.5548421159564545,1.5548421159564545,0.0,0.948750474,0.07358129
2019-08-02 11:00:00,2.6209738178586313,2.6209738178586313,0.0,-0.06955774962249306,2.59429664993108,2.615423496377507,2.615423496377507,0.0,2.684981246,0.07641483
2019-08-02 12:00:00,2.64266102898958,2.6209738178586313,0.021687211130948736,-0.44576501264254764,2.1485316372885324,3.3261079853574524,2.6209738178586313,0.7051341674988212,3.771872998,0.0837149
2019-08-02 13:00:00,3.267779112,2.6209738178586313,0.6468052941413687,-0.1223508936842106,2.0261807436043218,5.34505718331579,2.6209738178586313,2.7240833654571586,5.467408077,0.09011692
2019-08-02 14:00:00,2.6209738178586313,2.6209738178586313,0.0,-0.5210864001488091,1.5050943434555126,3.207207826851191,2.6209738178586313,0.5862340089925597,3.728294227,0.09292034
2019-08-02 15:00:00,4.054270513141368,2.6209738178586313,1.433296695282737,0.6844866980435458,2.1895810414990584,3.9321465020435458,2.6209738178586313,1.3111726841849145,3.247659804,0.09161203
2019-08-02 16:00:00,5.34505718331579,2.6209738178586313,2.7240833654571586,2.1866084961218837,4.376189537620942,5.034529664121884,2.6209738178586313,2.4135558462632525,2.847921168,0.09761836
2019-08-02 17:00:00,3.3174741926842115,2.6209738178586313,0.6965003748255802,0.13546950598338015,4.511659043604322,3.0798761689833802,2.6209738178586313,0.458902351124749,2.944406663,0.11626418
2019-08-02 18:00:00,2.6209738178586313,2.6209738178586313,0.0,-0.911044580148809,3.600614463455513,3.027583168851191,2.6209738178586313,0.4066093509925599,3.938627749,0.12103533
2019-08-02 19:00:00,2.6209738178586313,2.6209738178586313,0.0,-1.6316767822540719,1.968937681201441,5.355135830745928,2.6209738178586313,2.7341620128872965,6.986812613,0.15615279
2019-08-02 20:00:00,2.620973817858631,2.6209738178586313,-4.440892098500626e-16,-1.968937681201441,0.0,3.206468932798559,2.6209738178586313,0.5854951149399277,5.175406614,0.1281284
2019-08-02 21:00:00,4.471745014,2.6209738178586313,1.8507711961413684,0.0,0.0,4.881071194,2.6209738178586313,2.2600973761413683,4.881071194,0.116834
2019-08-02 22:00:00,3.994898081,2.6209738178586313,1.3739242631413688,0.0,0.0,3.423343051,2.6209738178586313,0.8023692331413685,3.423343051,0.09309992
2019-08-02 23:00:00,2.964018822,2.6209738178586313,0.3430450041413686,0.0,0.0,4.744971831,2.6209738178586313,2.1239980131413687,4.744971831,0.08486665
2019-08-03 00:00:00,2.548453569,2.548453569,0.0,0.0,0.0,3.181914223,2.6209738178586313,0.5609404051413689,3.181914223,0.07800997
2019-08-03 01:00:00,2.259811878,2.259811878,0.0,0.0,0.0,2.596233832,2.596233832,0.0,2.596233832,0.07626119
2019-08-03 02:00:00,2.6209738178586313,2.6209738178586313,0.0,1.5377728482722437,1.5377728482722437,3.786476850272244,2.6209738178586313,1.1655030324136129,2.248704002,0.07244677
2019-08-03 03:00:00,2.6209738178586313,2.6209738178586313,0.0,2.3590207335354014,3.8967935818076453,3.8722767595354015,2.6209738178586313,1.2513029416767703,1.513256026,0.07147879
2019-08-03 04:00:00,2.6209738178586313,2.6209738178586313,0.0,2.6887210577459277,6.585514639553573,3.023032417745928,2.6209738178586313,0.40205859988729653,0.33431136,0.07291623
2019-08-03 05:00:00,-2.387881998575894,-2.387881998575894,0.0,-2.5855146395535726,4.0,-1.9416821125535726,-1.9416821125535726,0.0,0.643832527,0.07885921
2019-08-03 06:00:00,-3.7295190569999996,-3.7295190569999996,0.0,-4.0,0.0,-3.963888915,-3.963888915,0.0,0.036111085,0.09046321
2019-08-03 07:00:00,0.319153637,0.319153637,0.0,0.0,0.0,0.152746859,0.152746859,0.0,0.152746859,0.07795832
